accuracy,frequency,configuration,frequency_start,frequency_end
0.5569620253164557,8.5,1Hz width 11 channels,8,9
0.5949367088607594,8.5,1Hz width 11 channels,8,9
0.6835443037974683,8.5,1Hz width 11 channels,8,9
0.5443037974683544,9.5,1Hz width 11 channels,9,10
0.5569620253164557,9.5,1Hz width 11 channels,9,10
0.5822784810126582,9.5,1Hz width 11 channels,9,10
0.6455696202531646,9.5,1Hz width 11 channels,9,10
0.5949367088607594,9.5,1Hz width 11 channels,9,10
0.5316455696202531,9.5,1Hz width 11 channels,9,10
0.5949367088607594,9.5,1Hz width 11 channels,9,10
0.5316455696202531,9.5,1Hz width 11 channels,9,10
0.6075949367088608,9.5,1Hz width 11 channels,9,10
0.5949367088607594,9.5,1Hz width 11 channels,9,10
0.620253164556962,10.5,1Hz width 11 channels,10,11
0.5822784810126582,10.5,1Hz width 11 channels,10,11
0.5569620253164557,10.5,1Hz width 11 channels,10,11
0.5822784810126582,10.5,1Hz width 11 channels,10,11
0.6708860759493671,10.5,1Hz width 11 channels,10,11
0.5316455696202531,10.5,1Hz width 11 channels,10,11
0.6835443037974683,10.5,1Hz width 11 channels,10,11
0.4936708860759494,10.5,1Hz width 11 channels,10,11
0.5443037974683544,10.5,1Hz width 11 channels,10,11
0.6582278481012658,10.5,1Hz width 11 channels,10,11
0.5822784810126582,11.5,1Hz width 11 channels,11,12
0.5063291139240507,11.5,1Hz width 11 channels,11,12
0.5189873417721519,11.5,1Hz width 11 channels,11,12
0.5949367088607594,11.5,1Hz width 11 channels,11,12
0.6075949367088608,11.5,1Hz width 11 channels,11,12
0.6075949367088608,11.5,1Hz width 11 channels,11,12
0.620253164556962,11.5,1Hz width 11 channels,11,12
0.569620253164557,11.5,1Hz width 11 channels,11,12
0.569620253164557,11.5,1Hz width 11 channels,11,12
0.620253164556962,11.5,1Hz width 11 channels,11,12
0.5822784810126582,12.5,1Hz width 11 channels,12,13
0.6835443037974683,12.5,1Hz width 11 channels,12,13
0.5316455696202531,12.5,1Hz width 11 channels,12,13
0.5822784810126582,12.5,1Hz width 11 channels,12,13
0.569620253164557,12.5,1Hz width 11 channels,12,13
0.5443037974683544,12.5,1Hz width 11 channels,12,13
0.5949367088607594,12.5,1Hz width 11 channels,12,13
0.6075949367088608,12.5,1Hz width 11 channels,12,13
0.6455696202531646,12.5,1Hz width 11 channels,12,13
0.569620253164557,12.5,1Hz width 11 channels,12,13
0.6329113924050633,13.5,1Hz width 11 channels,13,14
0.7721518987341772,13.5,1Hz width 11 channels,13,14
0.6708860759493671,13.5,1Hz width 11 channels,13,14
0.7215189873417721,13.5,1Hz width 11 channels,13,14
0.6835443037974683,13.5,1Hz width 11 channels,13,14
0.620253164556962,13.5,1Hz width 11 channels,13,14
0.6962025316455697,13.5,1Hz width 11 channels,13,14
0.6582278481012658,13.5,1Hz width 11 channels,13,14
0.6075949367088608,13.5,1Hz width 11 channels,13,14
0.6962025316455697,13.5,1Hz width 11 channels,13,14
0.5443037974683544,14.5,1Hz width 11 channels,14,15
0.5949367088607594,14.5,1Hz width 11 channels,14,15
0.569620253164557,14.5,1Hz width 11 channels,14,15
0.6455696202531646,14.5,1Hz width 11 channels,14,15
0.5949367088607594,14.5,1Hz width 11 channels,14,15
0.6708860759493671,14.5,1Hz width 11 channels,14,15
0.6582278481012658,14.5,1Hz width 11 channels,14,15
0.5569620253164557,14.5,1Hz width 11 channels,14,15
0.5569620253164557,14.5,1Hz width 11 channels,14,15
0.5949367088607594,14.5,1Hz width 11 channels,14,15
0.5569620253164557,15.5,1Hz width 11 channels,15,16
0.6075949367088608,15.5,1Hz width 11 channels,15,16
0.5443037974683544,15.5,1Hz width 11 channels,15,16
0.5822784810126582,15.5,1Hz width 11 channels,15,16
0.620253164556962,15.5,1Hz width 11 channels,15,16
0.620253164556962,15.5,1Hz width 11 channels,15,16
0.5316455696202531,15.5,1Hz width 11 channels,15,16
0.6582278481012658,15.5,1Hz width 11 channels,15,16
0.5569620253164557,15.5,1Hz width 11 channels,15,16
0.5569620253164557,15.5,1Hz width 11 channels,15,16
0.6329113924050633,5.5,3Hz width 11 channels,4,7
0.620253164556962,5.5,3Hz width 11 channels,4,7
0.6455696202531646,5.5,3Hz width 11 channels,4,7
0.5822784810126582,5.5,3Hz width 11 channels,4,7
0.6835443037974683,5.5,3Hz width 11 channels,4,7
0.569620253164557,5.5,3Hz width 11 channels,4,7
0.6455696202531646,5.5,3Hz width 11 channels,4,7
0.6962025316455697,5.5,3Hz width 11 channels,4,7
0.5949367088607594,5.5,3Hz width 11 channels,4,7
0.5316455696202531,5.5,3Hz width 11 channels,4,7
0.569620253164557,7.5,3Hz width 11 channels,6,9
0.569620253164557,7.5,3Hz width 11 channels,6,9
0.569620253164557,7.5,3Hz width 11 channels,6,9
0.5569620253164557,7.5,3Hz width 11 channels,6,9
0.6582278481012658,7.5,3Hz width 11 channels,6,9
0.5189873417721519,7.5,3Hz width 11 channels,6,9
0.6075949367088608,7.5,3Hz width 11 channels,6,9
0.6582278481012658,7.5,3Hz width 11 channels,6,9
0.6329113924050633,7.5,3Hz width 11 channels,6,9
0.6835443037974683,7.5,3Hz width 11 channels,6,9
0.5569620253164557,9.5,3Hz width 11 channels,8,11
0.5316455696202531,9.5,3Hz width 11 channels,8,11
0.5822784810126582,9.5,3Hz width 11 channels,8,11
0.6329113924050633,9.5,3Hz width 11 channels,8,11
0.620253164556962,9.5,3Hz width 11 channels,8,11
0.5316455696202531,9.5,3Hz width 11 channels,8,11
0.5949367088607594,9.5,3Hz width 11 channels,8,11
0.5443037974683544,9.5,3Hz width 11 channels,8,11
0.6075949367088608,9.5,3Hz width 11 channels,8,11
0.6582278481012658,9.5,3Hz width 11 channels,8,11
0.5822784810126582,11.5,3Hz width 11 channels,10,13
0.5822784810126582,11.5,3Hz width 11 channels,10,13
0.6708860759493671,11.5,3Hz width 11 channels,10,13
0.5949367088607594,11.5,3Hz width 11 channels,10,13
0.6962025316455697,11.5,3Hz width 11 channels,10,13
0.5569620253164557,11.5,3Hz width 11 channels,10,13
0.6582278481012658,11.5,3Hz width 11 channels,10,13
0.5316455696202531,11.5,3Hz width 11 channels,10,13
0.620253164556962,11.5,3Hz width 11 channels,10,13
0.6455696202531646,11.5,3Hz width 11 channels,10,13
0.6075949367088608,13.5,3Hz width 11 channels,12,15
0.7215189873417721,13.5,3Hz width 11 channels,12,15
0.6075949367088608,13.5,3Hz width 11 channels,12,15
0.6582278481012658,13.5,3Hz width 11 channels,12,15
0.6455696202531646,13.5,3Hz width 11 channels,12,15
0.5949367088607594,13.5,3Hz width 11 channels,12,15
0.6075949367088608,13.5,3Hz width 11 channels,12,15
0.569620253164557,13.5,3Hz width 11 channels,12,15
0.6075949367088608,13.5,3Hz width 11 channels,12,15
0.569620253164557,13.5,3Hz width 11 channels,12,15
0.6835443037974683,15.5,3Hz width 11 channels,14,17
0.6075949367088608,15.5,3Hz width 11 channels,14,17
0.569620253164557,15.5,3Hz width 11 channels,14,17
0.620253164556962,15.5,3Hz width 11 channels,14,17
0.6582278481012658,15.5,3Hz width 11 channels,14,17
0.6962025316455697,15.5,3Hz width 11 channels,14,17
0.5569620253164557,15.5,3Hz width 11 channels,14,17
0.5949367088607594,15.5,3Hz width 11 channels,14,17
0.620253164556962,15.5,3Hz width 11 channels,14,17
0.6708860759493671,15.5,3Hz width 11 channels,14,17
0.6329113924050633,7.0,6Hz width 11 channels,4,10
0.5569620253164557,7.0,6Hz width 11 channels,4,10
0.7215189873417721,7.0,6Hz width 11 channels,4,10
0.6455696202531646,7.0,6Hz width 11 channels,4,10
0.6962025316455697,7.0,6Hz width 11 channels,4,10
0.4810126582278481,7.0,6Hz width 11 channels,4,10
0.6835443037974683,7.0,6Hz width 11 channels,4,10
0.6329113924050633,7.0,6Hz width 11 channels,4,10
0.5949367088607594,7.0,6Hz width 11 channels,4,10
0.6455696202531646,7.0,6Hz width 11 channels,4,10
0.5949367088607594,11.0,6Hz width 11 channels,8,14
0.5189873417721519,11.0,6Hz width 11 channels,8,14
0.5949367088607594,11.0,6Hz width 11 channels,8,14
0.5822784810126582,11.0,6Hz width 11 channels,8,14
0.5822784810126582,11.0,6Hz width 11 channels,8,14
0.5316455696202531,11.0,6Hz width 11 channels,8,14
0.5569620253164557,11.0,6Hz width 11 channels,8,14
0.5316455696202531,11.0,6Hz width 11 channels,8,14
0.5949367088607594,11.0,6Hz width 11 channels,8,14
0.6835443037974683,11.0,6Hz width 11 channels,8,14
0.6075949367088608,15.0,6Hz width 11 channels,12,18
0.6835443037974683,15.0,6Hz width 11 channels,12,18
0.5949367088607594,15.0,6Hz width 11 channels,12,18
0.6582278481012658,15.0,6Hz width 11 channels,12,18
0.6455696202531646,15.0,6Hz width 11 channels,12,18
0.569620253164557,15.0,6Hz width 11 channels,12,18
0.5949367088607594,15.0,6Hz width 11 channels,12,18
0.6329113924050633,15.0,6Hz width 11 channels,12,18
0.620253164556962,15.0,6Hz width 11 channels,12,18
0.6582278481012658,15.0,6Hz width 11 channels,12,18
